,length,num_tokens,num_sentences,avg_sent_len,num_exclm_mark,ratio_q
114,0.01157951872625294,0.013486513486513486,0.02617801047120419,0.03460837887067395,0.0,0.0
115,0.045865749954767505,0.04695304695304695,0.06806282722513089,0.0610200364298725,0.0,0.0
116,0.012755563596888004,0.01098901098901099,0.0,0.2586520947176685,0.0,0.0
117,0.000995114890537362,0.000999000999000999,0.0,0.02185792349726776,0.0,0.0
119,0.10837705807852362,0.11038961038961038,0.14136125654450263,0.0727296383034088,0.0,0.09885256549036588
120,0.0038899945721005973,0.003996003996003996,0.0,0.08014571948998178,0.0,0.0
121,0.04695132983535372,0.046453546453546456,0.0,0.9471766848816029,0.0,0.0
122,0.006784874253663832,0.006993006993006993,0.010471204188481676,0.042501517911353974,0.0,0.0
123,0.015831373258548942,0.014485514485514486,0.02617801047120419,0.04887674559805707,0.0,0.0
125,0.2221820155599783,0.22227772227772227,0.14659685863874344,0.14904842660636897,0.024390243902439025,0.0
126,0.022616247512212775,0.024475524475524476,0.06282722513089005,0.0301247022558498,0.0,0.0
127,0.054459924009408356,0.04995004995004995,0.010471204188481676,0.36247723132969034,0.0,0.0
128,0.012303238646643748,0.012487512487512488,0.010471204188481676,0.07953855494839102,0.0,0.0
129,0.02388275737289669,0.02147852147852148,0.15706806282722513,0.010282625301134028,0.0,0.0
130,0.07888547132259816,0.08191808191808192,0.03664921465968586,0.19398907103825136,0.0,0.39287558079504387
131,0.019269042880405284,0.01898101898101898,0.010471204188481676,0.12629022465088038,0.0,0.25536912751677854
133,0.05165550931789398,0.04695304695304695,0.03664921465968586,0.1254553734061931,0.0,0.0
134,0.2735661299077257,0.24675324675324675,0.5654450261780105,0.0451362778028442,0.0,0.009286150091519218
135,0.054821783969603764,0.06043956043956044,0.21465968586387435,0.020990545580709515,0.0,0.0
136,0.010946263795910982,0.00999000999000999,0.0,0.2222222222222222,0.0,0.0
137,0.15605210783426815,0.15384615384615385,0.06806282722513089,0.21948998178506376,0.0,0.0
138,0.027953681925094988,0.032467532467532464,0.08900523560209424,0.026209269378668288,0.0,0.0
139,0.047494119775646826,0.047452547452547456,0.02617801047120419,0.15513054037644203,0.04878048780487805,0.0
140,0.006694409263614981,0.004995004995004995,0.0,0.1366120218579235,0.0,0.0
141,0.02578252216392256,0.026973026973026972,0.041884816753926704,0.05302570329892734,0.0,0.0
142,0.029401121765876607,0.026473526473526472,0.02617801047120419,0.09441408621736491,0.0,0.14592521572387343
143,0.015379048308304687,0.015984015984015984,0.020942408376963352,0.057923497267759555,0.0,0.0
144,0.06450153790483083,0.06293706293706294,0.07853403141361257,0.07616120218579235,0.21951219512195122,0.0
145,0.08196128098425909,0.07892107892107893,0.16230366492146597,0.04633424408014572,0.0975609756097561,0.0
146,0.004794644472589108,0.006993006993006993,0.0,0.09836065573770492,0.0,0.0
147,0.007146734213859237,0.008991008991008992,0.010471204188481676,0.044930176077717064,0.0,0.0
148,0.006513479283517279,0.005994005994005994,0.0,0.13296903460837886,0.0,0.0
149,0.007237199203908087,0.007992007992007992,0.015706806282722512,0.03278688524590164,0.0,0.20429530201342283
150,0.024606477293287497,0.023476523476523476,0.0,0.4972677595628415,0.024390243902439025,0.0
151,0.0022616247512212773,0.0024975024975024975,0.0,0.04735883424408015,0.024390243902439025,0.0
153,0.020897412701284604,0.02097902097902098,0.0,0.4225865209471767,0.0,0.0
154,0.058802243531753215,0.05444555444555445,0.005235602094240838,0.5901639344262295,0.0,0.0
